年月日,最高気温
2023/5/1,21.22142857142857
2023/5/2,21.064285714285717
2023/5/3,23.37142857142857
2023/5/4,26.264285714285712
2023/5/5,26.02857142857143
2023/5/6,28.478571428571428
2023/5/7,20.707142857142856
2023/5/8,16.77142857142857
2023/5/9,18.607142857142858
2023/5/10,22.692857142857147
2023/5/11,20.49285714285714
2023/5/12,19.928571428571427
2023/5/13,18.707142857142856
2023/5/14,21.0
2023/5/15,19.65
2023/5/16,24.721428571428568
2023/5/17,30.914285714285715
2023/5/18,32.785714285714285
2023/5/19,25.364285714285717
2023/5/20,22.2
2023/5/21,25.185714285714287
2023/5/22,26.864285714285717
2023/5/23,14.828571428571427
2023/5/24,21.785714285714285
2023/5/25,23.092857142857145
2023/5/26,23.7
2023/5/27,26.185714285714287
2023/5/28,25.585714285714285
2023/5/29,21.685714285714283
2023/5/30,26.442857142857143
2023/5/31,22.307142857142857
2023/6/1,24.82857142857143
2023/6/2,22.842857142857145
2023/6/3,23.69285714285714
2023/6/4,27.764285714285712
2023/6/5,29.178571428571427
2023/6/6,25.28571428571429
2023/6/7,27.771428571428572
2023/6/8,27.449999999999996
2023/6/9,23.285714285714285
2023/6/10,26.12857142857143
2023/6/11,21.699999999999996
2023/6/12,21.96428571428571
2023/6/13,27.521428571428572
2023/6/14,24.099999999999998
2023/6/15,23.764285714285712
2023/6/16,29.08571428571429
2023/6/17,30.87857142857143
2023/6/18,31.47142857142857
2023/6/19,25.37857142857143
2023/6/20,26.071428571428577
2023/6/21,26.157142857142855
2023/6/22,21.74285714285714
2023/6/23,23.13571428571429
2023/6/24,28.2
2023/6/25,29.02857142857142
2023/6/26,28.47857142857143
2023/6/27,27.9
2023/6/28,31.264285714285712
2023/6/29,31.321428571428573
2023/6/30,29.6
2023/7/1,28.92142857142857
2023/7/2,30.685714285714287
2023/7/3,30.928571428571427
2023/7/4,28.592857142857145
2023/7/5,27.849999999999998
2023/7/6,30.021428571428572
2023/7/7,34.27857142857143
2023/7/8,28.021428571428572
2023/7/9,31.95
2023/7/10,34.57142857142857
2023/7/11,33.85714285714286
2023/7/12,35.35
2023/7/13,30.435714285714287
2023/7/14,28.0
2023/7/15,30.392857142857142
2023/7/16,36.35
2023/7/17,34.74285714285715
2023/7/18,35.47142857142857
2023/7/19,30.8
2023/7/20,31.007142857142856
2023/7/21,29.421428571428574
2023/7/22,29.978571428571424
2023/7/23,30.978571428571428
2023/7/24,33.57142857142857
2023/7/25,35.59285714285714
2023/7/26,36.028571428571425
2023/7/27,35.528571428571425
2023/7/28,35.15
2023/7/29,35.1
2023/7/30,36.392857142857146
2023/7/31,35.70714285714286
2023/8/1,28.542857142857144
2023/8/2,34.58571428571428
2023/8/3,34.471428571428575
2023/8/4,36.47857142857143
2023/8/5,34.978571428571435
2023/8/6,33.364285714285714
2023/8/7,33.67857142857143
2023/8/8,32.80714285714286
2023/8/9,31.721428571428568
2023/8/10,32.621428571428574
2023/8/11,32.26428571428571
2023/8/12,32.964285714285715
2023/8/13,31.97142857142857
2023/8/14,32.2
2023/8/15,31.62142857142857
2023/8/16,32.699999999999996
2023/8/17,34.0
2023/8/18,34.08571428571429
2023/8/19,33.90714285714286
2023/8/20,33.93571428571428
2023/8/21,33.48571428571429
2023/8/22,33.23571428571429
2023/8/23,32.34285714285714
2023/8/24,33.964285714285715
2023/8/25,34.17142857142857
2023/8/26,33.32142857142857
2023/8/27,30.97142857142857
2023/8/28,34.43571428571429
2023/8/29,34.271428571428565
2023/8/30,33.98571428571428
2023/8/31,34.34285714285714
2023/9/1,34.07857142857143
2023/9/2,33.642857142857146
2023/9/3,32.67857142857143
2023/9/4,27.857142857142858
2023/9/5,33.857142857142854
2023/9/6,31.41428571428571
2023/9/7,29.685714285714287
2023/9/8,24.714285714285715
2023/9/9,29.97857142857143
2023/9/10,32.67142857142857
2023/9/11,31.678571428571427
2023/9/12,31.535714285714285
2023/9/13,32.17857142857142
2023/9/14,32.778571428571425
2023/9/15,31.707142857142856
2023/9/16,31.76428571428571
2023/9/17,32.50714285714285
2023/9/18,33.30714285714286
2023/9/19,33.18571428571429
2023/9/20,31.02857142857143
2023/9/21,29.078571428571426
2023/9/22,27.378571428571426
2023/9/23,24.65
2023/9/24,25.949999999999996
2023/9/25,26.992857142857144
2023/9/26,27.34285714285715
2023/9/27,27.857142857142858
2023/9/28,30.46428571428572
2023/9/29,29.14285714285714
2023/9/30,27.849999999999998
